Agency,Category,Service Type,Address,Latitude,Longitude,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Life Groups,Faith-Based Services,Support Group,Various churches throughout Robeson County,34.6383858,-79.1096901,Contact individual churches,,,Varies by church,Small group Bible study and fellowship,Free,Available at many local churches,No,,Contact churches directly for information
Gam-Anon,Community Services,Support Group,Contact for meeting location,,,(855)222-5542,,www.gam-anon.org,Contact for schedule,Support for families affected by gambling addiction,Free,For those affected by compulsive gambling,No,,Call for current meeting information
Gamblers Anonymous,Community Services,Support Group,Contact for meeting location,,,(855)222-5542,,www.gamblersanonymous.org,Contact for schedule,12-step program for gambling addiction,Free,For those with gambling problems,No,,Call for current meeting information
Overeaters Anonymous,Community Services,Support Group,Contact for meeting location,,,(505)891-2664,,www.oa.org,Contact for schedule,12-step program for food addiction,Free,For those with food and eating issues,No,,Call for current meeting information
Sex Addicts Anonymous,Community Services,Support Group,Contact for meeting location,,,(713)869-4902,,www.saa-recovery.org,Contact for schedule,12-step program for sexual addiction,Free,For those with sexual addiction,No,,Call for current meeting information
Debtors Anonymous,Community Services,Support Group,Contact for meeting location,,,(781)453-2743,,www.debtorsanonymous.org,Contact for schedule,12-step program for debt and spending issues,Free,For those with compulsive debting,No,,Call for current meeting information
Nicotine Anonymous,Community Services,Support Group,Contact for meeting location,,,(877)879-6422,,www.nicotine-anonymous.org,Contact for schedule,12-step program for nicotine addiction,Free,For those wanting to quit smoking/tobacco,No,,Call for current meeting information
Workaholics Anonymous,Community Services,Support Group,Contact for meeting location,,,(510)273-9253,,www.workaholics-anonymous.org,Contact for schedule,12-step program for work addiction,Free,For those with compulsive working habits,No,,Call for current meeting information
NAMI Support Groups,Community Services,Support Group,Contact NAMI Robeson County,34.6383858,-79.1096901,(910)521-9309,,www.nami.org,Contact for schedule,Support for mental health conditions,Free,For individuals and families affected by mental illness,No,,Contact local NAMI chapter
Depression and Bipolar Support Alliance,Community Services,Support Group,Contact for meeting location,,,(800)826-3632,,www.dbsalliance.org,Contact for schedule,Peer support for mood disorders,Free,For those with depression and bipolar disorder,No,,Call for current meeting information
Anxiety and Depression Support Group,Community Services,Support Group,Contact for meeting location,,,Contact local mental health providers,,,Contact for schedule,Support for anxiety and depression,Free,Peer support for anxiety and depression,No,,Contact local providers for information
PTSD Support Groups,Community Services,Support Group,Contact Veterans Affairs or mental health providers,,,(910)671-5000,,,Contact for schedule,Support for trauma survivors,Free,For those with PTSD and trauma,No,,Contact VA or mental health providers
Grief Support Groups,Community Services,Support Group,Various locations including funeral homes,,,Contact individual providers,,,Varies by provider,Support for those experiencing loss,Free,For those grieving loss of loved ones,No,,Contact funeral homes and churches
Cancer Support Groups,Community Services,Support Group,UNC Health Southeastern,34.637004,-79.0107451,(910)671-5000,,,Contact for schedule,Support for cancer patients and families,Free,For those affected by cancer,No,,Contact hospital for current groups
Diabetes Support Groups,Community Services,Support Group,Robeson County Health Department,34.6282634,-79.0632767,(910)671-3200,,,Contact for schedule,Education and support for diabetes management,Free,For those with diabetes and their families,No,,Contact health department
Parkinson's Support Group,Community Services,Support Group,Contact for meeting location,,,Contact local medical providers,,,Contact for schedule,Support for Parkinson's patients and families,Free,For those affected by Parkinson's disease,No,,Contact neurologists or hospitals
Alzheimer's/Dementia Support Groups,Community Services,Support Group,Contact Alzheimer's Association,,,(800)272-3900,,www.alz.org,Contact for schedule,Support for dementia caregivers and families,Free,For those affected by dementia,No,,Contact Alzheimer's Association
Caregivers Support Group,Community Services,Support Group,Contact Area Agency on Aging,,,(910)618-5679,,,Contact for schedule,Support for family caregivers,Free,For those caring for aging or disabled family members,No,,Contact Area Agency on Aging
Domestic Violence Support Groups,Crisis Services,Support Group,Robeson County Partnership for Children,34.6173257,-79.007137,(910)738-8805,,,Contact for confidential schedule,Support for domestic violence survivors,Free,For survivors of domestic violence,Yes,,Confidential support services
Sexual Assault Support Groups,Crisis Services,Support Group,Contact RAINN,,,(800)656-4673,,www.rainn.org,Contact for schedule,Support for sexual assault survivors,Free,For survivors of sexual assault,Yes,,Confidential crisis support
Teen Support Groups,Community Services,Support Group,Various schools and community centers,,,Contact individual schools,,,Varies by location,Peer support for teenagers,Free,For teens facing various challenges,No,,Contact schools and community centers
LGBTQ+ Support Groups,Community Services,Support Group,Contact PFLAG or local organizations,,,(910)521-6211,,,Contact for schedule,Support for LGBTQ+ individuals and families,Free,For LGBTQ+ community and allies,No,,Contact UNCP or local organizations
Autism Support Groups,Community Services,Support Group,Contact Autism Society of NC,35.7595731,-79.0192997,(800)442-2762,,www.autismsociety-nc.org,Contact for schedule,Support for autism families,Free,For families affected by autism,No,,Contact Autism Society of NC
Veterans Support Groups,Community Services,Support Group,VFW Post 2843,,,(910)738-7351,,,Contact for schedule,Support for military veterans,Free,For veterans and their families,No,,Contact local VFW posts
Military Family Support Groups,Community Services,Support Group,Contact Family Readiness Groups,,,Contact through military units,,,Varies by unit,Support for military families,Free,For active duty and veteran families,No,,Contact military units
Single Parent Support Groups,Community Services,Support Group,Contact local churches and community centers,,,Contact individual organizations,,,Varies by organization,Support for single parents,Free,For single mothers and fathers,No,,Contact churches and community centers
Job Seekers Support Groups,Community Services,Support Group,NCWorks Career Center,,,(910)618-5627,,,Contact for schedule,Support for job hunting and career development,Free,For those seeking employment,No,,Contact NCWorks office
Financial Planning Support Groups,Community Services,Support Group,Contact credit counseling agencies,,,Contact Consumer Credit Counseling,,,Contact for schedule,Support for financial management,Free or low-cost,For those needing financial guidance,No,,Contact credit counseling services
Chronic Illness Support Groups,Community Services,Support Group,Various medical providers,,,Contact healthcare providers,,,Contact for schedule,Support for chronic conditions,Free,For those with chronic illnesses,No,,Contact medical providers
Pain Management Support Groups,Community Services,Support Group,Contact pain management clinics,,,Contact medical providers,,,Contact for schedule,Support for chronic pain sufferers,Free,For those with chronic pain,No,,Contact pain clinics
Fibromyalgia Support Group,Community Services,Support Group,Contact for meeting location,,,Contact medical providers,,,Contact for schedule,Support for fibromyalgia patients,Free,For those with fibromyalgia,No,,Contact rheumatologists
Multiple Sclerosis Support Group,Community Services,Support Group,Contact National MS Society,,,(800)344-4867,,www.nationalmssociety.org,Contact for schedule,Support for MS patients and families,Free,For those affected by multiple sclerosis,No,,Contact National MS Society
Weight Loss Support Groups,Community Services,Support Group,Various locations including hospitals,,,Contact Weight Watchers or medical providers,,,Varies by program,Support for weight management,Varies by program,For those seeking weight loss,No,,Contact weight loss programs
Smoking Cessation Support Groups,Community Services,Support Group,Robeson County Health Department,34.6282634,-79.0632767,(910)671-3200,,,Contact for schedule,Support for quitting smoking,Free,For those wanting to quit tobacco,No,,Contact health department
Prescription Drug Drop-Off,Law Enforcement,Drug Disposal,Various police departments throughout county,,,Contact local police departments,,,Varies by location,Safe disposal of unused medications,Free,For safe medication disposal,No,,Contact local police for drop-off times
Crisis Intervention,Crisis Services,Crisis Services,Cardinal Innovations Healthcare,35.3387923,-80.7686374,(800)939-5911,,www.cardinalinnovations.org,24/7,Crisis intervention and mental health services,Medicaid/insurance,For mental health crises,Yes,,24/7 crisis line
Suicide Prevention Hotline,Crisis Services,Crisis Services,National Suicide Prevention Lifeline,,,988,,suicidepreventionlifeline.org,24/7,Suicide prevention and crisis counseling,Free,For those in suicidal crisis,Yes,,National crisis hotline
Crisis Text Line,Crisis Services,Crisis Services,Crisis Text Line,,,Text HOME to 741741,,www.crisistextline.org,24/7,Text-based crisis support,Free,For those in crisis via text,Yes,,Text-based crisis support
Twin Oaks Pharmacy,Pharmacy,Pharmacy Services,"4307 Fayetteville Road
Lumberton, NC 28358",34.6509255,-78.9993552,(910)671-9000,,https://twin-oaksrx.com/?_ga-ft=aFRjwg.AA.AA.AA.AA.IVdfLxYVQhWbSNsrK46fxQ..0.lumbertonvb.,Pharmacy hours vary,Prescription services and health supplies,Insurance accepted,Full-service pharmacy,No,,
Brisson Drugs,Pharmacy,Pharmacy Services,"217 W Broad Street, St Pauls, NC 28340",34.8065719,-78.9733389,(910)738-7177,,https://www.brissondrugs.com/,Pharmacy hours vary,Prescription services and health supplies,Insurance accepted,Local independent pharmacy,No,,
NC 2-1-1,Cultural & Information Services,Information Services,Statewide service,38.3977958,-81.8337652,2-1-1 or (888)892-1162,,www.nc211.org,24/7,Information and referral to local resources,Free,Comprehensive resource information and referral,No,,Dial 2-1-1 for assistance
Lumbee Tribe of North Carolina,Crisis Services,Tribal Services,6984 NC Hwy 711 West PO Box 2709 Pembroke NC 28372,34.6627033,-79.166567,(910) 521-7861 Ext.201,,https://www.lumbeetribe.com,,"Tribal Support Services, Emergency Rental Assistance, Housing support, Enrollment assistance, Energy assistance, Transitional Housing Services, Youth Services, Vocational Rehabilitation, Veteran Services, Project Indigechoice",Varies by service,The Lumbee Tribal Territory serves Southeastern North Carolina spanning Robeson Hoke Cumberland and Scotland Counties,Yes,,Serves Lumbee Tribal citizens
Lumbee Tribal Support Services,Tribal Services,Support Services,6984 NC Hwy 711 West PO Box 2709 Pembroke NC 28372,34.6627033,-79.166567,(910) 521-7861,,https://www.lumbeetribe.com,,Various tribal support services,Varies by service,Support services for Lumbee tribal members,No,,Related to Lumbee Tribe services
Lumberton Treatment Center,Crisis Services,Substance Abuse Treatment,2200 Clybourn Church Road Lumberton NC 28358,34.6093311,-78.8798017,(910) 739-9160,,https://www.lumbertonncdrugrehab.com,,"Drug evaluations, individual and group therapy, case management, medical care, family counseling, drug education, community referrals, specialized testing, methadone stabilization",Affordable care guest-dosing supported,Outpatient rehabilitation facility specializing in heroin and opioid addiction treatment for adults,Yes,,Licensed medical professionals and substance abuse counselors
Monarch,Crisis Services,Mental Health/Developmental Services,350 Pee Dee Avenue Albermarle NC 28001,35.350635,-80.19372,(704) 986-1500,,https://monarchnc.org,,"Long-Term Supports and Services, daily activities assistance, medication management, employment assistance, Behavioral Health Services",Varies by service,Trusted provider of trauma-informed care for individuals with intellectual and developmental disabilities mental illness and substance use disorders,Yes,,Trauma-informed care approach
North Carolina Harm Reduction Coalition,Crisis Services,Harm Reduction,1308 Dock St. Wilmington NC 28401,34.2353678,-77.9323003,(919) 703-8867,,https://www.nchrc.org/,,"Syringe exchange services, legislative advocacy, LEAD program, naloxone distribution, overdose prevention training, rapid HIV and Hepatitis C testing, counseling",Free,Statewide grassroots organization advancing harm reduction strategies public health initiatives drug policy reform and justice transformation,Yes,,Non-judgmental approach serves marginalized communities
PAWSS Inc.,Community Services,Transportation/Community Development,401 Normal St Pembroke NC 28372,34.6834379,-79.2011962,(910) 668-1619,,https://www.pawssinc.com/,,"Transportation Initiative, substance use disorder programs, education advancement, cultural enrichment, community resources",Varies by service,501(c)(3) nonprofit organization committed to enhancing quality of life and promoting equality in the region,No,,Transportation focus for rural populations
Red Springs Police Department,Law Enforcement,Police Services,217 S. Main St. Red Springs NC 28377,34.8144135,-79.1824981,(910) 521-7861 Ext.201,,,8:00 am to 5:00 pm Monday through Friday,"Law enforcement, emergency response, community protection",Public service,Police department serving Red Springs with mission to proudly serve and protect individuals with integrity compassion and concern,Yes,,Dial 911 for assistance and emergencies after hours
Robeson County Department of Social Services,Government Services,Social Services,120 Glen Cowan Road Lumberton NC 28360,34.628747,-79.066202,(910) 671-3000,,https://www.robesoncountync.gov/dss,,"Medicaid eligibility food assistance, emergency financial assistance, childcare assistance, energy assistance",Varies by service,Provides variety of support services in the community including determining eligibility for benefits,Yes,,
Robeson County Department of Public Health,Food Services,Public Health Services,460 Country Club Road Lumberton NC 28360,34.628242,-79.0633109,(910) 671-3200,,https://robesoncountyhealthdepartment.com/,,"Environmental Services, Home Visitation Programs, Health Promotion Services, family planning, breastfeeding support, chronic disease prevention, substance misuse prevention",Varies by service,Established in 1912 as the nation's oldest rural health department one of North Carolina's most comprehensive public health agencies,Yes,,Oldest rural health department in the nation
Robeson County District Attorney's Office,Crisis Services,Legal/Prosecution,500 N Elm St #209 Lumberton NC 28358,34.6201036,-79.0083799,(910) 272-5910,,https://www.ncdistrictattorney.org/district-attorney/prosecutorial-district-20/,,"Criminal prosecution, juvenile matters, trial preparation, legal guidance to law enforcement,Traffic Court, Victims Rights, Jury Service",Public service,Represents the State of North Carolina with integrity and professionalism while safeguarding victims' rights,Yes,,Prosecutorial District 20
Robeson County District Court,Legal Services,Court Services,500 N. Elm Street Lumberton NC 28359,34.620128,-79.0082096,(910) 272-5940,,https://www.nccourts.gov/locations/robeson-county,,"Contact directory, jury service, administrative schedules, local rules and forms, payment guidelines, civil and criminal calendars, Guardian ad Litem Program",Varies by service,Provides essential court resources and services for District 20,No,,District Court 20
Robeson County Guardian ad Litem (GAL),Crisis Services,Child Advocacy,435 Caton Road Lumberton NC 28360,34.693416,-78.9780229,(910) 272-6058,,www.VolunteerforGAL.org,,"Case investigation, court representation for abused and neglected children, volunteer advocacy case monitoring",Free,Advocates for the best interests of children involved in court cases serving over 15000 children annually in North Carolina,Yes,,Volunteers commit to at least 8 hours per month per case
Southeastern Integrated Care,Crisis Services,Behavioral Health/Medical,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(910) 522-0408,,https://seintegratedcare.com/,,"Enhanced Mental Health Programs, Outpatient Therapy, child and teen programs, adult services, group therapy, DWI assessments, transportation assistance",Varies by service,Dedicated to enhancing community wellness through high-quality integrated behavioral health and medical services,Yes,,Combines primary health mental health and substance use treatment
Stop the Pain,Crisis Services,Substance Use Prevention/Recovery,3929 Missouri Road Maxton NC 28364,34.7334275,-79.2335402,(910) 506-8664,,https://www.pawssinc.com/programs/stop-the-pain,,"Substance use awareness, recovery support, family support, education and outreach",Free,Faith-based program established in 2013 at Prospect United Methodist Church focused on reducing the impact of substance use,Yes,,Fiscally sponsored by PAWSS Inc.
UNC Health Southeastern,Crisis Services,Hospital/Medical Services,300 West 27th Street Lumberton NC 28358,34.6371225,-79.0115307,(910) 671-5050,,unchealthse.org,24/7 Emergency Services,"Acute care, intensive care, psychiatric services, emergency care, medical services",Insurance accepted financial assistance available,Comprehensive nonprofit healthcare system licensed for 337 beds serving southeastern North Carolina,Yes,,Only hospital in Robeson County joined UNC Health System in January 2021
University of North Carolina at Pembroke,Education,Higher Education,One University Drive PO Box 1510 Lumbee Hall Pembroke NC 28372,34.6902693,-79.2008808,(910) 521-6211,,https://www.uncp.edu/,,"Education, academic programs, student services, community engagement",Tuition and fees,Vibrant university community with over 7600 students offering a dynamic range of bachelor's and master's degree programs,No,,One of the safest campuses within the University of North Carolina System
National Pan-Hellenic Council of Lumberton,Community Groups & Development,Cultural/Social Services,PO Box 3856 Lumberton NC 28359,34.6216196,-79.0059754,(910) 827-5465,,https://lumbertonnphcpr.wixsite.com/mysite,,"Leadership training advocacy, community service, educational and cultural empowerment, social change initiatives",Varies by service,Umbrella organization representing historically African American fraternities and sororities,No,,Divine Nine organizations
Life Net Services LLC,Crisis Services,Integrated Healthcare,1014 Hay St Fayetteville NC 28305,35.0566463,-78.8977094,(910) 745-8895,,https://www.lifenetservices.org/,,"Mental health treatment, substance use treatment, trauma-informed care, evidence-based treatments, ongoing support",Multiple insurance plans accepted,Dedicated to providing comprehensive and compassionate integrated healthcare services aimed at improving mental wellness,Yes,,Accepts 16 different insurance plans including WellCare Medicare Aetna etc.
Borderbelt Behavioral Healthcare LLC,Crisis Services,Mental Health/Substance Abuse,107 Oakwood Avenue Raeford NC 28376,34.977973,-79.2228643,(910) 479-3350,,https://borderbeltbehavioral.com/,,"Mental health treatment, substance abuse treatment",Varies by service,Offers mental health and substance abuse resources and treatment services,Yes,,
Robeson County District Court - Adult Treatment Court,Crisis Services,Drug Court,500 N. Elm Street Lumberton NC 28359,34.620128,-79.0082096,(910) 272-5900,,https://www.nccourts.gov/locations/robeson-county,,"Drug Treatment Court, intensive treatment, substance dependency treatment, recidivism reduction",Varies by eligibility,Collaborative program providing intensive treatment for offenders struggling with drug or alcohol addiction,Yes,,Targets non-violent repeat offenders
Colors of Life,Community Services,Gang Prevention/Youth Services,P.O. Box 1941 Lumberton NC 28359,34.6216196,-79.0059754,(910) 736-2135,,,,"Gang conflict de-escalation, youth gang prevention, summer camp for at-risk youth, life skills development",Free,Nonprofit organization dedicated to gang prevention and community outreach,No,,Runs annual summer camp for at-risk youth
Hope Health Family Practice,Healthcare Services,Primary Care/Integrated Health,204 W. Main St. Rowland NC 28383,34.537874,-79.2938646,(910) 720-1101,,https://hopehealthfamily.wixsite.com/hopehealth,,"Primary Care Prevention, Wellness, COVID Testing, Exams, Home Visits, Minor Procedures, Weight Loss Programs, Chronic Disease Management, Family Planning, Mental Health Therapy, Peer Support Services",Varies by service,Native American-owned woman-led rural health clinic providing integrated care services,No,,Provides home visit services
Connect Community Inc.,Community Services,Youth/Family Support,201 E. 2nd St. Lumberton NC 28358,34.6178974,-79.0077759,(910) 738-6767,,https://connectcmty.org/,,"Adolescent Programs, Support Caregiver Programs, Support Groups, Community Events, Programs Support Systems, Trainings Workshops",Varies by service,Dedicated to connecting people adolescents and families to valuable resources,No,,Focus on building nurturing relationships
MS Contracting Inc. (Lifebridge),Crisis Services,Comprehensive Health Services,2501 Elizabethtown Rd. Lumberton NC 28358,34.6345501,-78.9901297,(910) 738-7880,,,,"Mental health treatment, physical health services ,developmental support, substance abuse treatment, transportation services",Varies by service,Dedicated to delivering quality treatment services addressing mental physical developmental and substance abuse needs,Yes,,Serves multiple counties including Robeson
Robeson County Housing Authority,Housing Services,Housing Assistance,100 Oxendine Circle Lumberton NC 28360,34.6476249,-79.0801467,(910) 738-4866,,https://www.robesonha.org/,,"Housing assistance for low and moderate-income families, elderly and handicapped housing, economic self-sufficiency programs, homelessness prevention",Varies by income,Founded in 1968 provides affordable decent safe and sanitary housing opportunities,No,,Creates pathways out of homelessness
Seed Harvest Development Enterprise (SHADE),Community Groups & Development,Community Development,P.O. Box 131 Lumberton NC 28359,34.6216196,-79.0059754,,,,,Community development,Varies by service,Development enterprise organization,No,,
Lumberton Alumnae Chapter-Delta Sigma Theta Sorority Inc.,Community Groups & Development,Community Service/Education,P.O. Box 2713 Lumberton NC 28359,34.6216196,-79.0059754,(910) 734-3880,,https://serve.uncp.edu/agency/detail/?agency_id=107846,,"Economic Development, Educational Development, Physical and Mental Health programs, Political Awareness and Involvement, International Awareness and Involvement",Varies by service,Distinguished organization of college-educated women dedicated to growth development and public service,No,,Focus on uplifting the Black community
Hope Alive,Crisis Services,Substance Abuse Prevention/Recovery,3459 Lackey St. Lumberton NC 28360,34.6429708,-79.0166122,(910) 370-0241,,https://hopealiveinc.com/,,"BakPak Pals Program, Equine Therapy Program, Ron Barnes Center for Recovery, Benevolence Request Program",Free to low-cost,Community-focused organization dedicated to preventing intervening and treating substance abuse through holistic approach,Yes,,Offers equine-assisted psychotherapy
Christian Recovery Center Inc.,Crisis Services,Faith-Based Recovery,1994 Ash Little River Rd. NW Ash NC 28420,33.9696024,-78.5929987,(910) 287-4357,,https://crcirecovery.org/,,"12-step curriculum, professional therapeutic services, education opportunities, social reform programs, long-term recovery support",Free,Network of nonprofit recovery centers providing comprehensive faith-based recovery program at no cost,Yes,,No cost to residents or families
Palmer Prevention Inc.,Crisis Services,Youth Substance Abuse Prevention,3460 Capuano Rd Lumberton NC 28358,34.6443394,-79.0122667,(910) 522-0421,,https://serve.uncp.edu/agency/detail/?agency_id=33668,,"Child and Adolescent Treatment Services, Keeping My Child Drug Free program, Outpatient Substance Abuse Treatment and Prevention Services, DWI assessments",Varies by service,Private nonprofit organization established in 1992 dedicated to preventing reducing and delaying substance use among youth,Yes,,12-hour evidence-based programs
Public Schools of Robeson County (SCORE),Education,Public Education,100 Hargrave St Lumberton NC 28358,34.6138317,-78.9871944,(910) 671-6000 ext.3545,,https://www.robeson.k12.nc.us/,,"Education mentoring tutoring, career preparation programs, Career and Technical Education Programs",Public education,One of the largest school systems in North Carolina serving as educational cornerstone and major employer,No,,Collaboration with UNCP and Robeson Community College
Lambda Eta Zeta Chapter Zeta Phi Beta Sorority Incorporated,Community Groups & Development,Community Service,PO Box 3460 Lumberton NC 28359,34.6216196,-79.0059754,(910) 740-3997,,https://www.facebook.com/LambdaEtaZeta/,,"Scholarship Service, Sisterhood Finer Womanhood programs, community outreach advocacy for social change",Varies by service,Founded in 1920 at Howard University chartered locally on December 4 1981,No,,Principles of Scholarship Service Sisterhood and Finer Womanhood
Skyler Brunson (SMILE) Foundation,Community Services,Youth Support/Memorial Services,PO Box 1102 Fairmont NC 28340,34.4968311,-79.114202,(336) 528-1142,,https://www.facebook.com/share/18ds57xaSz/?mibextid=wwXIfr,,"Breezing Beautifully Back to School initiative, personal hygiene, care packages, haircuts, random acts of kindness",Free,Provides personal hygiene care packages and services in memory of Skyler Brunson,No,,Memorial foundation for childhood cancer victim
Tae's Pathway,Crisis Services,Opioid Recovery,2895 Trevor Drive Lumberton NC 28358,34.6219373,-78.967808,(919) 618-6024,,,,"Prevention screening referrals, assessment linkage aftercare, Cognitive Behavioral Therapy, Motivational Interviewing, SMART Recovery Matrix Model, Trauma-Focused Therapy",Varies by service,Nonprofit outpatient opioid recovery program offering integrated services,Yes,,Serves clients aged 13-65
Robeson County Offender Resource Center,Crisis Services,Offender Rehabilitation,120 West 6th Street Lumberton NC 28358,34.6210755,-79.0094472,(910) 674-9054,,,,"Outpatient care, Cognitive Behavioral Therapy, Motivational Interviewing, Relapse Prevention, Matrix Model, 12-Step Facilitation, aftercare rehabilitation, therapy vocational programming",Varies by service,Comprehensive substance use treatment and support services for individuals seeking recovery from addiction,Yes,,Evidence-based treatment approaches
Zeta Amicae of Lumberton NC,Community Groups & Development,Community Service,P.O. Box 3595 Lumberton NC 28358,34.6182199,-79.0086424,(910) 734-3653,,https://www.facebook.com/people/Zeta-Amicae-of-Lumberton-NC/100071350743608/,,Scholarship service sisterhood and finer womanhood programs,Varies by service,Auxiliary of women serving under Lambda Eta Zeta Chapter largest Zeta Amicae Auxiliary in the United States,No,,Auxiliary for women without college degrees
Strength Wisdom and Achievement (SWA),Community Services,Community Development,275 Fernwood Circle Lumberton NC 28360,34.6870636,-79.0911254,(910) 644-7114,,,,Community support and development,Varies by service,Organization focused on strength wisdom and achievement,No,,
Carolina Youth Action Association (CCYA),Community Groups & Development,Youth/Family Advocacy,P.O. Box 3 Rowland NC 28383,34.5365518,-79.2914306,,,,,"Home life improvement, child and youth advocacy, education standards promotion, community welfare",Varies by service,Represents members from 10 churches across North and South Carolina dedicated to promoting welfare of children,No,,Multi-church organization
Better AM,Community Services,Community Empowerment,,,,(910) 827-0986,,https://www.facebook.com/betteraminc,,"Youth and adult engagement programs, strategically planned campaigns events, and programs equitable opportunities resource access",Varies by service,Founded in memory of Ajerris McRae dedicated to inspiring better days and brighter futures,No,,Memorial foundation
